"Product ID";Imagen;Nombre;Referencia;Categoría;"Precio (imp. excl.)";"Precio (imp. incl.)";Cantidad;Estado;Posición
9842;https://subirananadons.com/21102/bandana-de-rizo-de-bambú-victoria-muselina.jpg;"Bandana de rizo de bambú Victoria Muselina";P10;Baberos;8.223140;9.95;0;1
9261;https://subirananadons.com/18285/bol-merienda-verde.jpg;"Bol Merienda Verde";1236706;"Botes y fiambreras";9.049587;10.95;-2;1
9283;https://subirananadons.com/18410/taza-con-asas-happy-dots-verde.jpg;"Taza con asas Happy Dots Verde";1936733;"Botellas y vasos";9.049587;10.95;-7;1
9365;https://subirananadons.com/18815/taza-con-asas-happy-dots-azul.jpg;"Taza con asas Happy Dots Azul";1936732;"Botellas y vasos";9.049587;10.95;0;1
9577;https://subirananadons.com/19849/sonajero-anillo-gallina-pequeña-granja.jpg;"Sonajero Anillo Gallina Pequeña Granja";LD8814;Varios;9.049587;10.95;-1;1
9582;https://subirananadons.com/19884/sonajero-anillo-baby-bunny.jpg;"Sonajero Anillo Baby Bunny";LD8852;Varios;9.049587;10.95;0;1
9755;https://subirananadons.com/20697/plato-tiny-farm-arena.jpg;"Plato Tiny Farm Arena";1756899;"Paltos y cubiertos";9.049587;10.95;-1;1
9756;https://subirananadons.com/20702/plato-tiny-farm-rosa.jpg;"Plato Tiny Farm Rosa";1756831;"Paltos y cubiertos";9.049587;10.95;0;1
9759;https://subirananadons.com/20717/taza-con-asas-tiny-farm-rosa.jpg;"Taza con asas Tiny Farm Rosa";1959661;"Botellas y vasos";9.049587;10.95;0;1
9760;https://subirananadons.com/20722/taza-con-asas-tiny-farm-arena.jpg;"Taza con asas Tiny Farm Arena";1959669;"Botellas y vasos";9.049587;10.95;0;1
9770;https://subirananadons.com/20780/mordedores-sheepy-azul.jpg;"Mordedores Sheepy Azul";4359512;Mordedores;9.049587;10.95;0;1
9777;https://subirananadons.com/20818/babero-silicona-pigee-rosa.jpg;"Babero silicona Pigee Rosa";1359481;Baberos;9.049587;10.95;0;1
9778;https://subirananadons.com/20821/babero-silicona-dotti-azul.jpg;"Babero silicona Dotti Azul";1359582;Baberos;9.049587;10.95;0;1
9779;https://subirananadons.com/20825/babero-silicona-sheepy-arena.jpg;"Babero silicona Sheepy Arena";1359689;Baberos;9.049587;10.95;-1;1
9539;https://subirananadons.com/19683/pelota-sensorial-silicona-verde.jpg;"Pelota sensorial Silicona verde";LD2012521;Mordedores;9.504132;11.5;-2;1
9573;https://subirananadons.com/19832/pelota-sensorial-silicona-rosa.jpg;"Pelota sensorial Silicona rosa";LD2012522;Mordedores;9.504132;11.5;-1;1
9269;https://subirananadons.com/18361/gallina-17-cm-pequeña-granja.jpg;"Gallina 17 cm Pequeña Granja";LD8827;"Doudous y peluches";9.876033;11.95;-1;1
9395;https://subirananadons.com/18973/clip-bolitas-silicona-nude.jpg;"Clip bolitas silicona Nude";401524;"Clip chupete";10.289256;12.45;-1;1
9413;https://subirananadons.com/19036/clip-bolitas-silicona-verde.jpg;"Clip bolitas silicona Verde";401521;"Clip chupete";10.289256;12.45;-2;1
9445;https://subirananadons.com/19247/botella-sensorial-sons-monkey.jpg;"Botella sensorial sonidos Monkey";PB47657;"Botellas sensoriales";10.661157;12.9;0;1
9391;https://subirananadons.com/18960/caja-para-chupete-silicona-verde.jpg;"Caja para chupete silicona Verde";401536;"Guarda chupete";10.702479;12.95;-4;1
9412;https://subirananadons.com/19032/botella-con-pajita-280ml-playground-verde.jpg;"Botella con pajita 280ml Playground Verde";1046803;"Botellas y vasos";10.702479;12.95;-2;1
9437;https://subirananadons.com/19196/bandeja-con-compartimentos-croco-verde.jpg;"Bandeja con compartimentos Croco Verde";1736553;"Paltos y cubiertos";10.702479;12.95;-9;1
9452;https://subirananadons.com/19285/bandeja-con-compartimentos-happy-clouds-rosa.jpg;"Bandeja con compartimentos Happy Clouds Rosa";1736501;"Paltos y cubiertos";10.702479;12.95;-3;1
9553;https://subirananadons.com/19766/juego-articulado-madera-croco-verde.jpg;"Juego articulado madera Croco Verde";4344313;Varios;10.702479;12.95;0;1
9564;https://subirananadons.com/19803/funda-casco-antruido-lagoon.jpg;"Funda cascos antruido Lagoon";BANZ1297;"Cascos antiruido";10.702479;12.95;0;1
9598;https://subirananadons.com/19933/babero-happy-clouds-verde.jpg;"Babero Happy Clouds Verde";1333283;Baberos;10.702479;12.95;0;1
9717;https://subirananadons.com/20470/funda-casco-antruido-lagoon.jpg;"Funda cascos antruido Negro";BANZ1297;"Cascos antiruido";10.702479;12.95;-1;1
9735;https://subirananadons.com/20571/mordedores-sensorial-dotti-arena.jpg;"Mordedores sensorial Dotti Arena";4353789;Mordedores;10.702479;12.95;0;1
9736;https://subirananadons.com/20575/mordedores-sensorial-pigee.jpg;"Mordedores sensorial Pigee";4353789;Mordedores;10.702479;12.95;0;1
9750;https://subirananadons.com/20666/bandeja-con-compartimentos-elphee-azul.jpg;"Bandeja con compartimentos Elphee Azul";1756932;"Paltos y cubiertos";10.702479;12.95;0;1
9751;https://subirananadons.com/20672/bandeja-con-compartimentos-tiny-farm-arena.jpg;"Bandeja con compartimentos Tiny Farm Arena";1756989;"Paltos y cubiertos";10.702479;12.95;0;1
9752;https://subirananadons.com/20679/bandeja-con-compartimentos-tiny-farm-rosa.jpg;"Bandeja con compartimentos Tiny Farm Rosa";1756961;"Paltos y cubiertos";10.702479;12.95;0;1
9771;https://subirananadons.com/20785/set-de-cucharas-de-aprendizaje-tiny-farm-arena.jpg;"Set de cucharas de aprendizaje Tiny Farm Arena";1159049;"Paltos y cubiertos";10.702479;12.95;-1;1
9772;https://subirananadons.com/20792/set-de-cucharas-de-aprendizaje-tiny-farm-rosa.jpg;"Set de cucharas de aprendizaje Tiny Farm Rosa";1159041;"Paltos y cubiertos";10.702479;12.95;0;1
9861;https://subirananadons.com/21198/pack-2-botes-tiny-farm-rosa.jpg;"Pack 2 botes Tiny Farm Rosa";1256101;"Botes y fiambreras";10.702479;12.95;0;1
9862;https://subirananadons.com/21202/pack-2-botes-tiny-farm-azul.jpg;"Pack 2 botes Tiny Farm Azul";1256122;"Botes y fiambreras";10.702479;12.95;0;1
9865;https://subirananadons.com/21219/botella-con-pajita-280ml-tiny-farm-azul.jpg;"Botella con pajita 280ml Tiny Farm Azul";1056392;"Botellas y vasos";10.702479;12.95;0;1
9866;https://subirananadons.com/21222/botella-con-pajita-280ml-tiny-farm-rosa.jpg;"Botella con pajita 280ml Tiny Farm Rosa";1056392;"Botellas y vasos";10.702479;12.95;0;1
9788;https://subirananadons.com/20898/tubo-de-drenaje-y-tapón-stokke-flexi-bath.jpg;"Tubo de drenaje y tapón Stokke Flexi Bath";bundle;"Accesorios baño";10.743802;13;0;1
9817;https://subirananadons.com/21001/tetina-happymami-t2l-0-3m.jpg;"Tetina Happymami T2L (0-3m)";T2L;"Biberones y complementos";10.760331;13.02;0;1
9841;https://subirananadons.com/21099/tetina-happymami-t2m-3-6m.jpg;"Tetina Happymami T2M (3-6m)";T2M;"Biberones y complementos";10.760331;13.02;0;1
9859;https://subirananadons.com/21193/tetina-happymami-t2r-6m.jpg;"Tetina Happymami T2R (+6m)";T2R;"Biberones y complementos";10.760331;13.02;0;1
9860;https://subirananadons.com/21195/tetina-happymami-t2c-cereales.jpg;"Tetina Happymami T2C (Cereales)";T2C;"Biberones y complementos";10.760331;13.02;0;1
9444;https://subirananadons.com/19242/botella-sensorial-flotante-fluo-yellow.jpg;"Botella sensorial flotante Fluo Yellow";PB47633;"Botellas sensoriales";10.991736;13.3;0;1
9296;https://subirananadons.com/18463/botella-con-pajita-350ml-lalee-arena.jpg;"Botella con pajita 350ml Lalee Arena";1026319;"Botellas y vasos";11.528926;13.95;-1;1
9306;https://subirananadons.com/18515/sonajero-lalee-arena.jpg;"Sonajero Lalee Arena";4323619;Varios;11.528926;13.95;-2;1
9390;https://subirananadons.com/18950/clip-silicona-wonder-grey-clouds.jpg;"Clip silicona Wonder Grey Clouds";402540;"Clip chupete";11.528926;13.95;0;1
9476;https://subirananadons.com/19396/clip-silicona-wonder-whitecap-grey.jpg;"Clip silicona Wonder Whitecap Grey";402540;"Clip chupete";11.528926;13.95;0;1
9478;https://subirananadons.com/19404/pelota-montessori-baby-bunny.jpg;"Pelota Montessori Baby Bunny";LD8853;Varios;11.528926;13.95;0;1
9513;https://subirananadons.com/19563/clip-silicona-wonder-almost-aqua.jpg;"Clip silicona Wonder Almost Aqua";402542;"Clip chupete";11.528926;13.95;-1;1
9579;https://subirananadons.com/19862/pack-5-cubos-apilables-deer-friends.jpg;"Pack 5 cubos apilables Deer Friends";4845197;Varios;11.528926;13.95;0;1
9749;https://subirananadons.com/20657/jugetes-de-baño-eplhee-rosa.jpg;"Jugetes de baño Eplhee Rosa";4856351;"Accesorios baño";11.528926;13.95;0;1
9830;https://subirananadons.com/21057/pelota-montessori-pequeña-granja.jpg;"Pelota Montessori Pequeña Granja";LD8825;Varios;11.528926;13.95;0;1
9816;https://subirananadons.com/20997/biberón-happymami-150ml-turquesa.jpg;"Biberón Happymami 150ml Turquesa";V1A;"Biberones y complementos";12.338843;14.93;0;1
9837;https://subirananadons.com/21086/biberón-happymami-150ml-rosa.jpg;"Biberón Happymami 150ml Rosa";V1R;"Biberones y complementos";12.338843;14.93;0;1
9849;https://subirananadons.com/21132/biberón-happymami-250ml-turquesa.jpg;"Biberón Happymami 250ml Turquesa";V2A;"Biberones y complementos";12.338843;14.93;0;1
9878;https://subirananadons.com/21273/biberón-happymami-250ml-rosa.jpg;"Biberón Happymami 250ml Rosa";V2R;"Biberones y complementos";12.338843;14.93;0;1
9563;https://subirananadons.com/19799/sonajero-sensorial-anilla-elphee-azul.jpg;"Sonajero sensorial anilla Elphee Azul";4334302;Varios;12.355372;14.95;0;1
9692;https://subirananadons.com/20369/cesta-pequeña-fairy-wonders.jpg;"Cesta pequeña Fairy Wonders";LDTE30404031;"Luces y decoración";12.355372;14.95;0;1
9821;https://subirananadons.com/21018/juguetes-de-baño-mrs-elephant-mr-crocodile.jpg;"Juguetes de baño Mrs. Elephant & Mr. Crocodile";37-676;"Accesorios baño";13.181818;15.95;0;1
